0.00	0.00	-1.57	0.00
0.00	0.00	-1.59	-0.13
0.00	0.00	-1.62	-0.68
0.00	0.00	-1.68	-1.55
0.00	0.00	-1.75	-2.60
0.00	0.00	-1.85	-3.53
0.00	0.00	-1.96	-4.59
0.00	0.00	-2.08	-5.53
0.00	0.00	-2.23	-6.32
0.00	0.00	-2.38	-6.96
0.00	0.00	-2.54	-7.71
0.00	0.00	-2.72	-7.94
0.00	0.00	-2.90	-8.77
0.00	0.00	-3.09	-8.88
0.00	0.00	-3.27	-9.29
0.00	0.00	-3.46	-9.35
0.00	0.00	-3.64	-9.36
0.00	0.00	-3.82	-9.09
0.00	0.00	-3.98	-8.92
0.00	0.00	-4.13	-8.24
0.00	0.00	-4.25	-7.35
0.00	0.00	-4.36	-6.43
0.00	0.00	-4.45	-5.65
0.00	0.00	-4.53	-4.74
0.00	0.00	-4.59	-3.83
0.00	0.00	-4.62	-2.91
0.00	0.00	-4.64	-1.98
0.00	0.00	-4.64	-1.06
0.00	0.00	-4.62	-0.14
0.00	0.00	-4.59	0.78
0.00	0.00	-4.53	1.70
0.00	0.00	-4.45	2.75
0.00	0.00	-4.36	3.56
0.00	0.00	-4.25	4.59
0.00	0.00	-4.12	5.40
0.00	0.00	-3.98	6.17
0.00	0.00	-3.82	6.94
0.00	0.00	-3.64	7.97
0.00	0.00	-3.47	8.64
0.00	0.00	-3.28	8.99
0.00	0.00	-3.10	9.04
0.00	0.00	-2.93	8.92
0.00	0.00	-2.75	8.90
0.00	0.00	-2.58	8.63
0.00	0.00	-2.43	8.46
0.00	0.00	-2.28	7.78
0.00	0.00	-2.15	7.55
0.00	0.00	-2.03	6.73
0.00	0.00	-1.93	6.08
0.00	0.00	-1.84	5.20
0.00	0.00	-1.77	4.42
0.00	0.00	-1.73	3.52
0.00	0.00	-1.70	2.47
0.00	0.00	-1.69	1.53
0.00	0.00	-1.70	0.60
0.00	0.00	-1.73	-0.18
0.00	0.00	-1.78	-1.48
0.00	0.00	-1.86	-2.59
0.00	0.00	-1.95	-3.40
0.00	0.00	-2.05	-4.44
0.00	0.00	-2.18	-5.11
0.00	0.00	-2.31	-6.00
0.00	0.00	-2.46	-6.65
0.00	0.00	-2.62	-7.40
0.00	0.00	-2.78	-7.63
0.00	0.00	-2.95	-8.20
0.00	0.00	-3.13	-8.54
0.00	0.00	-3.30	-8.72
0.00	0.00	-3.48	-8.87
0.00	0.00	-3.65	-8.76
0.00	0.00	-3.81	-8.48
0.00	0.00	-3.97	-8.31
0.00	0.00	-4.10	-7.62
0.00	0.00	-4.21	-6.87
0.00	0.00	-4.31	-5.84
0.00	0.00	-4.39	-5.03
0.00	0.00	-4.46	-4.13
0.00	0.00	-4.50	-3.34
0.00	0.00	-4.53	-2.44
0.00	0.00	-4.54	-1.52
0.00	0.00	-4.53	-0.47
0.00	0.00	-4.50	0.20
0.00	0.00	-4.45	1.35
0.00	0.00	-4.39	2.17
0.00	0.00	-4.31	3.21
0.00	0.00	-4.20	4.02
0.00	0.00	-4.09	4.79
0.00	0.00	-3.96	5.69
0.00	0.00	-3.81	6.47
0.00	0.00	-3.65	7.38
0.00	0.00	-3.47	8.03
0.00	0.00	-3.30	8.38
0.00	0.00	-3.13	8.69
0.00	0.00	-2.96	8.47
0.00	0.00	-2.80	8.44
0.00	0.00	-2.64	8.30
0.00	0.00	-2.49	8.02
0.00	0.00	-2.35	7.58
0.00	0.00	-2.22	7.13
0.00	0.00	-2.10	6.54
0.00	0.00	-2.00	5.79
0.00	0.00	-1.93	5.03
0.00	0.00	-1.86	4.13
0.00	0.00	-1.81	3.34
0.00	0.00	-1.79	2.44
0.00	0.00	-1.78	1.39
0.00	0.00	-1.79	0.45
0.00	0.00	-1.83	-0.34
0.00	0.00	-1.88	-1.50
0.00	0.00	-1.95	-2.59
0.00	0.00	-2.04	-3.40
0.00	0.00	-2.14	-4.17
0.00	0.00	-2.26	-5.07
0.00	0.00	-2.39	-5.86
0.00	0.00	-2.53	-6.50
0.00	0.00	-2.69	-6.85
0.00	0.00	-2.84	-7.56
0.00	0.00	-3.01	-7.79
0.00	0.00	-3.18	-8.35
0.00	0.00	-3.35	-8.29
0.00	0.00	-3.51	-8.42
0.00	0.00	-3.67	-8.30
0.00	0.00	-3.82	-8.15
0.00	0.00	-3.97	-7.74
0.00	0.00	-4.08	-7.02
